id	r=0.2	r=0.15	r=0.1	r=0.09	r=0.08	r=0.05
1	66	55	117	5705	229	4441
2	183	301	N/A	1571	864	2375
3	179	216	178	228	310	1463
4	217	105	205	N/A	259	7884
5	513	135	1922	237	898	379
6	92	N/A	169	1791	3015	1124
7	N/A	172	755	2318	N/A	1111
8	6748	170	124	226	1851	269
9	842	338	313	N/A	2429	N/A
10	75	155	7656	566	463	309
11	49	466	N/A	193	258	383
12	68	2233	123	N/A	121	719
13	344	1872	176	608	167	621
14	43	80	289	98	388	250
15	81	6862	5623	128	255	325
16	128	69	179	234	214	N/A
17	N/A	80	1077	8795	831	298
18	3805	211	262	241	1386	273
19	3100	186	110	192	949	617
20	52	N/A	119	2885	365	341
21	151	87	483	152	596	1590
22	3956	37137	308	197	223	387
23	48	104	18465	232	N/A	1314
24	83	123	N/A	122	12753	279
25	3100	587	38938	N/A	489	171
26	310	130	181	697	479	676
27	151	201	241	150	14169	6996
28	204	212	543	243	1258	19315
29	703	128	726	148	847	731
30	16186	3912	321	241	565	2763
31	185	182	430	199	2098	2420
32	125	312	262	346	N/A	3022
33	304	403	647	515	580	N/A
34	61	539	102	798	N/A	N/A
35	104	N/A	172	183	236	1562
Num of N/A	2	3	3	4	4	4
